baseMean,log2FoldChange,lfcSE,pvalue,padj
BTBD19,36.8181383712252,2.19556528752497,0.197240561801336,3.50856036217929e-30,7.26059733312192e-29
BTG2,4272.42538310885,2.02230370025972,0.248802332232895,2.40194065824654e-17,1.85817537840846e-16
C11orf52,2.06952378091844,3.65627113687396,0.917186347788432,3.75260572609768e-07,1.15559058943996e-06
C11orf91,1.26430136910848,2.38771460696258,0.689652394859459,1.52315034376265e-05,3.9225505974224e-05
C15orf39,473.400451039809,2.10049128766354,0.236583579019271,3.19938591162257e-20,3.11110854115138e-19
C16orf54,476.052781083654,3.08573966467736,0.225885504524259,2.72354564551056e-44,1.42252256844107e-42
C19orf54,153.266240663733,3.03790382997171,0.191965678006476,3.4788972800388e-58,4.18547331381219e-56
C1orf162,458.752488866132,6.14173682403134,0.521930517307584,9.46189786495979e-34,2.5238961506762e-32
C1QTNF1,1.53310795710367,2.09832163125884,0.92990512914477,0.00106778800655333,0.00212376716159193
C4orf54,3.23689376087561,2.56674483561947,0.643151097455747,1.42065279197312e-06,4.11067970740936e-06
C5AR1,3212.14335087446,5.23748588238344,0.401451835463096,4.55665987237855e-41,1.89264122556295e-39
C5AR2,353.317413590324,5.84646035078518,0.382157260482566,1.11229665452212e-54,1.15500090107966e-52
CA4,23.2739884006659,2.28410230376344,0.542715420529247,8.84936471244578e-07,2.61656215946808e-06
CABLES1,107.50983555457,2.67636161250591,0.391593862497743,1.68717823162777e-13,9.52210425452815e-13
CABP1,1.79398472646389,2.67318926046549,0.927518486290509,6.79345937975559e-05,0.000160585228834467
CACNA1A,47.9831455389824,2.97040699486306,0.22554025030992,2.26696219742391e-41,9.69293027795591e-40
CALD1,581.755939476534,4.37909321981058,0.433218972730896,2.31956193011255e-26,3.64876085399581e-25
CALN1,2.92818529841604,3.85677204682007,0.830845264709658,1.74985483029412e-08,6.20577709178307e-08
CAMKK1,224.020153414433,5.06603596489231,0.511527072099925,2.20396845163826e-25,3.20135134378264e-24
CAPN3,56.1603680444304,2.97793553254348,0.317945975842825,1.21370080174265e-22,1.41625488203348e-21
