baseMean,log2FoldChange,lfcSE,pvalue,padj
MSTRG.14674,184.518931065867,6.34387696208572,0.640493753770133,9.32782009878458e-26,1.1890485156645e-23
MSTRG.14762,6.1278586629766,2.50272584303237,0.358030527840702,4.73040067978587e-14,1.15046060551922e-12
MSTRG.14763,9.92224528333517,4.7538637644877,0.628320977852387,2.61633741053957e-16,8.94791795308505e-15
MSTRG.14773,1.92685360025854,2.98581667700519,0.668037996142823,7.91761490899455e-08,5.98330965730077e-07
MSTRG.148,8.68979285002634,2.42467057699263,0.966357416780124,0.000201091020317715,0.00069759130269575
MSTRG.14804,5.21571047818202,2.50507895454362,0.617828081734828,8.0470544579032e-07,4.9367869623383e-06
MSTRG.1491,5.02856559330218,2.83941029057974,0.758347542548516,1.93231133840246e-06,1.08739978224187e-05
MSTRG.14923,2.85691993792782,2.37022386442229,0.420780683923537,3.5047678439421e-10,4.29529474400427e-09
MSTRG.14972,2.41158857953417,2.17154592893605,0.549220057021846,2.05055631849561e-06,1.14758907425413e-05
MSTRG.14987,1.05436780272337,2.21683739947481,0.841086563110652,0.000200917889658506,0.00069710964719057
MSTRG.14988,1.3316215657934,2.96153028786199,0.736023820931828,5.6052909210646e-07,3.55036682265063e-06
MSTRG.14989,1.45688215999338,2.82335529072694,0.805123761217691,4.81046811528429e-06,2.47141977814176e-05
MSTRG.14991,1.16444902563339,2.66116722807806,0.805030844284136,1.19826480610345e-05,5.62463812482867e-05
MSTRG.15001,6.96382990930743,2.92615049479313,0.563186889237571,2.30569140343253e-09,2.37183494128966e-08
MSTRG.1504,1296.3666462188,2.08915136241577,0.223873217499101,3.25516695703494e-22,2.5853146316576e-20
MSTRG.15070,3.48723450328502,4.19638804458185,0.755788672972858,1.85336912656595e-10,2.38196593434506e-09
MSTRG.15115,3.49442238151112,2.81234475083024,0.760794351546768,2.39010405795905e-06,1.31641868363601e-05
MSTRG.15179,9.25720944181538,2.19976190832947,0.464477861552699,5.55061666839634e-08,4.33308266852887e-07
MSTRG.15220,22.2307746816819,2.04448838095347,0.421186084503263,4.08381903320742e-08,3.28060879427789e-07
MSTRG.15226,4.24590576508366,3.48900776889826,0.668824132093836,1.54198543009794e-09,1.65309007119277e-08
MSTRG.15301,14.737868422781,2.12279867930158,0.49298732733695,4.84268893117526e-07,3.1134087382974e-06
MSTRG.15329,1.04004781453943,2.25686541744824,0.771748067254477,7.82307121633223e-05,0.000300536011280996
MSTRG.15333,1.20248335516025,2.53532471369126,0.654830617807764,1.65509555157722e-06,9.45264122322136e-06
MSTRG.15360,19.6398612924722,2.34708479409246,0.236678347896873,7.48195185995989e-25,8.79323960790199e-23
MSTRG.15383,6.97804927677908,2.56358989564834,0.507869808064987,6.88767580599443e-09,6.49236089418075e-08
